price,suburb,property_size,km_from_cbd
530000,Kincumber,1351,47.05
525000,Halekulani,594,78.54
480000,Chittaway Bay,468,63.59
452000,Leumeah,344,40.12
365500,North Avoca,1850,49.98
550000,Kincumber,626,47.05
535000,Bensville,556,43.91
495000,Leumeah,582,40.12
410000,Toukley,493,74.11
242500,Winmalee,1248,59.15
6500000,Point Clare,742,48.17
890000,Picnic Point,715,22.31
533000,Whalan,695,39.53
1120500,North Rocks,904,20.61
830000,Winmalee,2109,59.15
675000,Bass Hill,263,20.43
500000,Kincumber,791,47.05
473000,Leumeah,581,40.12
885000,Picnic Point,557,22.31
625000,Chittaway Bay,555,63.59
520000,Leumeah,651,40.12
510000,Winmalee,993,59.15
610000,Chittaway Bay,862,63.59
570000,Winmalee,828,59.15
555000,Bensville,748,43.91
1250000,North Rocks,900,20.61
540000,Kincumber,623,47.05
395000,Kincumber,642,47.05
272500,The Entrance North,122,65.14
2300000,Concord,556,9.6
940000,Acacia Gardens,560,31.04
695000,Wetherill Park,550,28.94
930000,Picnic Point,607,22.31
2300000,Dolans Bay,1151,23.32
670000,North Avoca,556,49.98
557000,Bensville,556,43.91
558000,Chittaway Bay,771,63.59
550000,Kincumber,618,47.05
2015000,Concord,581,9.6
2000000,Greenhills Beach,669,19.56
936000,North Rocks,710,20.61
1500000,North Rocks,987,20.61
712000,Bass Hill,758,20.43
646000,North Avoca,601,49.98
1180000,North Rocks,720,20.61
1930000,Croydon,506,8.77
1670000,Elanora Heights,800,19.05
1600000,Leichhardt,177,5.31
850000,Chittaway Bay,695,63.59
828000,Wetherill Park,563,28.94
580000,Narara,601,53.4
1280000,Concord,335,9.6
930000,Canley Vale,1080,24.09
900000,Killcare Heights,702,40.94
710000,Bass Hill,638,20.43
553000,Bensville,771,43.91
2949000,North Turramurra,950,20.05
1180000,North Rocks,735,20.61
1030000,Avalon Beach,650,28.35
905000,Panania,278,22.21
750000,Bass Hill,290,20.43
580000,Bensville,1764,43.91
1325000,North Rocks,739,20.61
1130000,Rosehill,948,17.06
1100000,Picnic Point,975,22.31
1039000,Lansvale,569,23.35
977000,Petersham,170,5.99
320000,Rosemeadow,592,46.98
2300000,Ultimo,134,1.9
1500000,Leichhardt,177,5.31
1400000,Croydon,394,8.77
1265000,Leichhardt,220,5.31
510000,Narara,1037,53.4
1720000,Concord,512,9.6
1340000,Burwood,273,9.9
1300000,Avalon Beach,696,28.35
1180000,Eastlakes,335,7.32
1110000,Picnic Point,620,22.31
875000,Panania,556,22.21
865000,Panania,556,22.21
862000,Panania,355,22.21
595000,Avalon Beach,140,28.35
520000,Kincumber,602,47.05
495000,Killarney Vale,626,60.03
870000,Killcare Heights,955,40.94
730000,Kincumber,624,47.05
715000,Bensville,732,43.91
453000,Killarney Vale,330,60.03
2100000,Drummoyne,417,5.35
1985000,Millers Point,112,0.8
1780000,Millers Point,111,0.8
1415000,Russell Lea,272,6.33
1250000,Elanora Heights,1024,19.05
545000,Narara,601,53.4
1440000,Avalon Beach,657,28.35
1230000,Mascot,266,9.35
915000,Bossley Park,619,30.17
619000,Panania,171,22.21
450000,Chittaway Bay,588,63.59
225000,Chittaway Bay,486,63.59
